Rank,Release Group,Worldwide,Domestic,%,Foreign,%
163,My Brothers and I,"$825,312",-,-,"$825,312",100%
164,Adieu Paris,"$771,286",-,-,"$771,286",100%
165,Placés,"$759,453",-,-,"$759,453",100%
166,Emergency Situation,"$751,928",-,-,"$751,928",100%
167,"Camera Café, la película","$747,285",-,-,"$747,285",100%
168,JGA: Jasmin. Gina. Anna.,"$726,512",-,-,"$726,512",100%
169,Eingeschlossene Gesellschaft,"$725,355",-,-,"$725,355",100%
170,FIR,"$709,663",-,-,"$709,663",100%
171,Rassegna Cinematografica,"$706,565",-,-,"$706,565",100%
172,Boiling Point,"$705,045",-,-,"$705,045",100%
173,The Companions,"$704,580",-,-,"$704,580",100%
174,Zlatni decko,"$696,097",-,-,"$696,097",100%
175,America Latina,"$693,818",-,-,"$693,818",100%
176,Meppadiyan,"$691,981",-,-,"$691,981",100%
177,Liubov i blohery,"$677,744",-,-,"$677,744",100%
178,Lynx,"$668,972",-,-,"$668,972",100%
179,The Deer King,"$654,789",-,-,"$654,789",100%
180,Ik wist het,"$644,643",-,-,"$644,643",100%
181,Stellar,"$643,740",-,-,"$643,740",100%
182,Kaptan Pengu ve Arkadaslari 2,"$643,626",-,-,"$643,626",100%
183,Benden Ne Olur,"$639,014",-,-,"$639,014",100%
184,Zaï Zaï Zaï Zaï,"$622,060",-,-,"$622,060",100%
185,The Blue Skies at Your Feet,"$613,496",-,-,"$613,496",100%
186,Poslední závod,"$610,931",-,-,"$610,931",100%
187,How I Learned to Fly,"$604,173",-,-,"$604,173",100%
188,The Desperate Hour,"$603,792",-,-,"$603,792",100%
189,Dem Toi Ruc Ro!,"$570,165",-,-,"$570,165",100%
190,Serve the People,"$567,250",-,-,"$567,250",100%
191,Adanis: Kutsal Kavga,"$549,055",-,-,"$549,055",100%
192,Palmyra,"$542,933",-,-,"$542,933",100%
193,C'era una volta il crimine,"$540,636",-,-,"$540,636",100%
194,Bangarraju,"$534,735",-,-,"$534,735",100%
195,The Book Of Dust - La Belle Sauvage - Nt Live 2022 (Theatre),"$523,838",-,-,"$523,838",100%
196,Betlémské svetlo,"$507,307",-,-,"$507,307",100%
197,Papy,"$506,003",-,-,"$506,003",100%
198,Three Times Nothing,"$504,890",-,-,"$504,890",100%
199,Milosc jest blisko,"$504,348",-,-,"$504,348",100%
200,Softie,"$489,094",-,-,"$489,094",100%
